name,lat,lng,country,rating
STONEY'S IRISH GRILL,42.8271518,-73.922411,USA,4.6
Spindles on Remsen,42.7702771,-73.7002069,USA,4.2
Germantown Depot,36.17764580000001,-86.79087559999999,USA,4.3
Captains Resto Bar,28.644142,77.3391923,India,3.7
Proeza Food & Beer,-29.71423759999999,-52.42593309999999,Brazil,4.6
Végállomás Klub és Kocsma,47.2123573,16.6189832,9700 Hungary,4.5
Ricks Sports Bar & Grill,40.4155504,-79.6404675,USA,3.8
O'leary's,52.0990984,5.115618599999999,Netherlands,4.4
Sagra,18.0783621,-66.9667004,Puerto Rico,4.2
Fraser's Sports Bar,12.906167,100.869244,Thailand,4.2
Bar&Pub Barracuda,60.39471009999999,25.6623245,Finland,3.6
Cabali,28.1345506,-15.429473,Spain,3.9
Alabama,36.8421124,-2.4535793,Spain,4.5
Kings Glenealy,52.9664997,-6.1444861,Ireland,4.3
Mermaid Juice,28.8003925,-81.6362336,USA,4.7
Hotel Mariners Haverfordwest Pembrokeshire West Wales,51.8016689,-4.972794100000001,United Kingdom,4
Firehouse Grille & Pub,41.5866802,-81.44268389999999,USA,4.3
"The Irish House, Lower Parel",18.9945158,72.82481489999999,India,4.3
P.J. Gallagher's Sports Bar & Bistro @ the Criterion Hotel Sydney,-33.8733362,151.2083679,Australia,3.8
The Redlands Underground Restaurant and Bar,34.0558148,-117.1819225,USA,4.3
he Baron's ArtT,-15.8533843,-47.97613140000001,Brazil,0
Townhouse Pub,43.4979325,-70.44658,USA,4
Tequila N Tacos Mexican Sports Bar & Grill,40.5591171,-74.44257879999999,USA,4.2
The Bistro On Sterling,41.5431482,-87.6792425,USA,4.6
The Market Tavern,39.9546024,-75.18383109999999,USA,4.3
Buffalo Wild Wings,30.3091512,-89.7478053,USA,3.9
The Wig & Pen,51.3891892,1.3823984,United Kingdom,4
The Duke of Sussex,51.5011269,-0.1100323,United Kingdom,4.1
The Springfield Bar & Grill,51.6055788,-0.1227562,United Kingdom,4.2
Hill16spain irish bar,36.6015963,-4.5114395,Spain,4.4
The Win Tavern 33,42.9081111,-85.8282133,USA,4.6
John Barleycorn Tavern,42.1027083,-76.2597498,USA,4.5
Harold Mr. Stinking Goat,45.0062995,19.8183756,Serbia,4.7
The Cos Cobber,41.0364101,-73.6044919,USA,4.3
The Rockton Inn,42.4523338,-89.07224049999999,USA,4.3
Copa Diner and Bar,53.1389317,-4.274474,United Kingdom,4
The British Pub,25.6556065,-100.3567557,Mexico,4.5
Identity Ultra Lounge,39.3601905,-76.77653719999999,USA,4.2
Thimble Island Brewing Company,41.29671,-72.77156099999999,USA,4.6
Glen Forest Tavern,42.7047095,-71.1903887,USA,4.7
Sutton's Irish Pub,51.24787,6.783799999999999,Germany,4.5
Pizza Erol,46.070164,23.5588503,Romania,4
El Irish Bar,-36.8315987,-73.0513461,Chile,4.4
The Stief,43.10425559999999,-75.24193,USA,4.3
The Mug and Musket,43.2502229,-79.0496306,USA,4.5
Craft Kitchen & Tap House,40.6557304,-73.6721529,USA,4.4
The Emerald Inn,40.7793298,-73.9836819,USA,4.2
The Lacey,36.3277756,-119.6331095,USA,4.3
Culletons,52.3294219,-6.475909,Ireland,4.3
PC'S Bar & Grill,34.2713923,-118.711651,USA,4.3
Sachse Ice House,32.9803798,-96.58833709999999,USA,4.2
